78605, 136.84 %
78606, 76.47 %
78608, NaN
78609, 127.27 %
78610, 144.15 %
78611, 81.82 %
78612, 100.00 %
78613, 135.38 %
78614, NaN
78615, Infinity
78616, Infinity
78617, 81.82 %
78618, NaN
78619, 196.48 %
78620, 111.31 %
78621, 114.29 %
78623, Infinity
78624, 89.13 %
78626, 233.33 %
78628, 121.32 %
78629, 40.63 %
78631, 60.00 %
78632, NaN
78633, 126.94 %
78634, 179.28 %
78636, 85.19 %
78638, 81.82 %
78639, 100.00 %
78640, 203.37 %
78641, 276.97 %
78642, 277.62 %
78643, 58.73 %
78644, 78.08 %
78645, 97.72 %
78648, 9.09 %
78650, Infinity
78652, 215.79 %
78653, 118.75 %
78654, 73.00 %
78655, 100.00 %
78656, NaN
78657, 44.88 %
78659, Infinity
78660, 194.76 %
78662, Infinity
78663, Infinity
78664, 64.79 %
78665, 136.84 %
78666, 90.81 %
78669, 113.57 %
78671, Infinity
78672, NaN
78676, 107.89 %
78681, 84.93 %
78701, 87.41 %
78702, 685.71 %
78703, 52.68 %
78704, 179.05 %
78705, 55.34 %
78717, 127.82 %
78719, NaN
78721, Infinity
78722, 185.71 %
78723, 321.35 %
78724, 218.18 %
78725, Infinity
78726, 61.86 %
78727, 121.26 %
78728, 121.05 %
78729, 93.55 %
78730, 40.89 %
78731, 52.78 %
78732, 54.45 %
78733, 43.50 %
78734, 73.52 %
78735, 53.98 %
78736, 127.03 %
78737, 170.80 %
78738, 133.29 %
78739, 106.35 %
78741, 551.16 %
78742, NaN
78744, 300.00 %
78745, 204.93 %
78746, 36.45 %
78747, 83.10 %
78748, 168.46 %
78749, 118.09 %
78750, 55.73 %
78751, 137.89 %
78752, 194.12 %
78753, 181.25 %
78754, 145.90 %
78756, 106.67 %
78757, 257.59 %
78758, 216.55 %
78759, 66.04 %
78801, 39.78 %
78827, NaN
78828, NaN
78829, NaN
78830, NaN
78833, NaN
78834, -32.20 %
78838, Infinity
78839, 0.00 %
78840, 50.00 %
78850, Infinity
78852, 59.09 %
78861, 72.04 %
78870, NaN
78873, Infinity
78877, NaN
78879, NaN
78880, NaN
78881, NaN
78883, NaN
78884, Infinity
78886, NaN
78931, NaN
78932, Infinity
78933, 90.48 %
78934, 138.81 %
78935, Infinity
78938, NaN
78940, 85.19 %
78941, 84.21 %
78942, 44.74 %
78943, NaN
78944, NaN
78945, 50.68 %
78946, NaN
78947, 108.33 %
78948, NaN
78949, NaN
78950, 50.94 %
